GEOID10,Name,US County,Households,Poverty Households #,Poverty Households %,ALICE Households #,ALICE Households %,Above ALICE Households #,Above ALICE Households %
33510,33510,Hillsborough,10136,1290,12.7,2494,24.6,6352,62.7
33511,33511,Hillsborough,20953,2089,10,5532,26.4,13332,63.6
33527,33527,Hillsborough,4703,967,20.6,1009,21.5,2727,58
33534,33534,Hillsborough,4720,977,20.7,1294,27.4,2449,51.9
33547,33547,Hillsborough,7512,510,6.8,947,12.6,6055,80.6
33548,33548,Hillsborough,2363,159,6.7,540,22.9,1664,70.4
33549,33549,Hillsborough,6409,653,10.2,1483,23.1,4273,66.7
33556,33556,Hillsborough,7562,368,4.9,1241,16.4,5953,78.7
33558,33558,Hillsborough,7944,464,5.8,1614,20.3,5866,73.8
33559,33559,Hillsborough,6604,895,13.6,1704,25.8,4005,60.6
33563,33563,Hillsborough,9362,1792,19.1,3295,35.2,4275,45.7
33565,33565,Hillsborough,6232,666,10.7,1818,29.2,3748,60.1
33566,33566,Hillsborough,6791,786,11.6,1698,25,4307,63.4
33567,33567,Hillsborough,3514,717,20.4,993,28.3,1804,51.3
33569,33569,Hillsborough,8867,925,10.4,1698,19.1,6244,70.4
33570,33570,Hillsborough,8440,1512,17.9,2334,27.7,4594,54.4
33572,33572,Hillsborough,6557,546,8.3,1268,19.3,4743,72.3
33573,33573,Hillsborough,12195,999,8.2,3805,31.2,7391,60.6
33578,33578,Hillsborough,17441,1922,11,4030,23.1,11489,65.9
33579,33579,Hillsborough,8999,480,5.3,1266,14.1,7253,80.6
33584,33584,Hillsborough,8813,974,11.1,2172,24.6,5667,64.3
33592,33592,Hillsborough,3967,783,19.7,1420,35.8,1764,44.5
33594,33594,Hillsborough,12348,1086,8.8,2459,19.9,8803,71.3
33596,33596,Hillsborough,9918,464,4.7,1106,11.2,8348,84.2
33598,33598,Hillsborough,4594,791,17.2,1142,24.9,2661,57.9
33602,33602,Hillsborough,7499,1261,16.8,1488,19.8,4750,63.3
33603,33603,Hillsborough,8020,1798,22.4,2682,33.4,3540,44.1
33604,33604,Hillsborough,14746,3521,23.9,4917,33.3,6308,42.8
33605,33605,Hillsborough,6853,2326,33.9,2548,37.2,1979,28.9
33606,33606,Hillsborough,7873,940,11.9,1613,20.5,5320,67.6
33607,33607,Hillsborough,10523,2515,23.9,3262,31,4746,45.1
33609,33609,Hillsborough,8231,977,11.9,1968,23.9,5286,64.2
33610,33610,Hillsborough,15135,4821,31.9,5143,34,5171,34.2
33611,33611,Hillsborough,15059,1280,8.5,4164,27.7,9615,63.8
33612,33612,Hillsborough,17968,5202,29,6686,37.2,6080,33.8
33613,33613,Hillsborough,13520,4548,33.6,4444,32.9,4528,33.5
33614,33614,Hillsborough,17870,3985,22.3,7317,40.9,6568,36.8
33615,33615,Hillsborough,17061,2544,14.9,5180,30.4,9337,54.7
33616,33616,Hillsborough,6272,1043,16.6,1698,27.1,3531,56.3
33617,33617,Hillsborough,17847,4101,23,6155,34.5,7591,42.5
33618,33618,Hillsborough,10957,840,7.7,2771,25.3,7346,67
33619,33619,Hillsborough,12096,2613,21.6,4210,34.8,5273,43.6
33621,33621,Hillsborough,574,52,9.1,194,33.8,328,57.1
33624,33624,Hillsborough,14774,1425,9.6,3291,22.3,10058,68.1
33625,33625,Hillsborough,9655,1014,10.5,2568,26.6,6073,62.9
33626,33626,Hillsborough,10748,460,4.3,1484,13.8,8804,81.9
33629,33629,Hillsborough,10572,547,5.2,1617,15.3,8408,79.5
33634,33634,Hillsborough,7285,825,11.3,1994,27.4,4466,61.3
33635,33635,Hillsborough,6746,710,10.5,1519,22.5,4517,67
33637,33637,Hillsborough,6159,841,13.7,1683,27.3,3635,59
33647,33647,Hillsborough,23052,2057,8.9,4252,18.4,16743,72.6
