FID,GEOID10,ZCTA5CE10,totHH,povHH,ALICE,A_ALICE
0,33604,33604,14746,3521,4917,6308
1,33612,33612,17968,5202,6686,6080
2,33618,33618,10957,840,2771,7346
3,33603,33603,8020,1798,2682,3540
4,33607,33607,10523,2515,3262,4746
5,33614,33614,17870,3985,7317,6568
6,33602,33602,7499,1261,1488,4750
7,33606,33606,7873,940,1613,5320
8,33609,33609,8231,977,1968,5286
9,33610,33610,15135,4821,5143,5171
10,33511,33511,20953,2089,5532,13332
11,33547,33547,7512,510,947,6055
12,33569,33569,8867,925,1698,6244
13,33596,33596,9918,464,1106,8348
14,33534,33534,4720,977,1294,2449
15,33578,33578,17441,1922,4030,11489
16,33527,33527,4703,967,1009,2727
17,33594,33594,12348,1086,2459,8803
18,33563,33563,9362,1792,3295,4275
19,33565,33565,6232,666,1818,3748
20,33566,33566,6791,786,1698,4307
21,33584,33584,8813,974,2172,5667
22,33592,33592,3967,783,1420,1764
23,33510,33510,10136,1290,2494,6352
24,33615,33615,17061,2544,5180,9337
25,33635,33635,6746,710,1519,4517
26,33570,33570,8440,1512,2334,4594
27,33573,33573,12195,999,3805,7391
28,33598,33598,4594,791,1142,2661
29,33624,33624,14774,1425,3291,10058
30,33634,33634,7285,825,1994,4466
31,33810,33810,,,,
32,33567,33567,3514,717,993,1804
33,33647,33647,23052,2057,4252,16743
34,33617,33617,17847,4101,6155,7591
35,33637,33637,6159,841,1683,3635
36,33605,33605,6853,2326,2548,1979
37,33619,33619,12096,2613,4210,5273
38,33613,33613,13520,4548,4444,4528
39,33559,33559,6604,895,1704,4005
40,33620,33620,,,,
41,33548,33548,2363,159,540,1664
42,33558,33558,7944,464,1614,5866
43,33556,33556,7562,368,1241,5953
44,33579,33579,8999,480,1266,7253
45,33572,33572,6557,546,1268,4743
46,33549,33549,6409,653,1483,4273
47,33625,33625,9655,1014,2568,6073
48,33626,33626,10748,460,1484,8804
49,33503,33503,,,,
50,33629,33629,10572,547,1617,8408
51,33611,33611,15059,1280,4164,9615
52,33616,33616,6272,1043,1698,3531
53,33621,33621,574,52,194,328
54,33540,33540,,,,
